,firm,culture,tenure,employments,sim_no,var_win,cond
1,1,1.96840293145538,5.56860117306249,1,1,0.1,1
2,1,2.22503677383823,56.8066197847993,2,1,0.1,1
3,1,2.10855576536963,36.0159206802371,2,1,0.1,1
4,1,2.06990308289587,21.8747812203929,2,1,0.1,1
5,1,2.01081200201563,18.7457591062591,2,1,0.1,1
6,1,1.96994964949185,19.4087537772531,2,1,0.1,1
7,1,1.97757799728319,4.8313090470941,2,1,0.1,1
8,1,2.00195639358294,4.18441636114416,1,1,0.1,1
9,1,1.89573044186893,12.5115812417502,2,1,0.1,1
10,1,2.00890338712143,8.03212479170376,1,1,0.1,1
11,1,1.88632329265452,4.88658965497184,1,1,0.1,1
12,1,1.96978821954361,4.21088467309636,1,1,0.1,1
13,1,2.23533522295598,19.337251054917,1,1,0.1,1
14,1,1.99921525029245,20.8666555778894,3,1,0.1,1
15,1,1.98806373566789,26.296849242913,3,1,0.1,1
16,1,1.97593439055776,8.090601249958,1,1,0.1,1
17,1,2.02945871936375,1.85262704415759,1,1,0.1,1
18,1,1.93970169925946,6.98358430722299,2,1,0.1,1
19,1,2.16775388191396,10.7841314884565,3,1,0.1,1
20,1,1.77902789118434,12.7954346383662,2,1,0.1,1
21,1,1.96068037882091,25.0314229688192,2,1,0.1,1
22,1,2.08513564773988,15.9817705054955,1,1,0.1,1
23,1,1.90241550211104,7.45482266308706,2,1,0.1,1
24,1,1.89200383080332,7.89137062318748,2,1,0.1,1
25,1,1.99353614071897,25.0243635794722,1,1,0.1,1
26,1,2.00605860433695,6.29321663949814,2,1,0.1,1
27,1,2.02343616048483,15.4720940226406,1,1,0.1,1
28,1,2.0753981811041,0.870509945889018,1,1,0.1,1
29,1,1.90482032393152,23.0526864971283,2,1,0.1,1
30,1,2.02090867043266,13.443732724336,2,1,0.1,1
31,2,1.87267470173948,8.38679660620124,2,1,0.1,1
32,2,1.87174716112989,4.59946880422915,1,1,0.1,1
33,2,2.15183932819816,15.6131545658343,2,1,0.1,1
34,2,2.06084405092901,24.535303858766,1,1,0.1,1
35,2,2.04873975447288,49.314095625945,2,1,0.1,1
36,2,2.12122096520983,2.41859618984651,1,1,0.1,1
37,2,1.81848153155443,128.990901886474,1,1,0.1,1
38,2,2.03208785725359,5.27614723845282,1,1,0.1,1
39,2,1.8125300766002,8.21258322188681,1,1,0.1,1
40,2,2.00403329634475,7.51871572546183,1,1,0.1,1
41,2,2.06164110459622,3.5024682221814,3,1,0.1,1
42,2,1.79992655519702,10.4514926670698,2,1,0.1,1
43,2,2.21789674524663,16.1459505276625,2,1,0.1,1
44,2,2.13709571362632,16.5595117662749,2,1,0.1,1
45,2,1.97086741051752,3.37769646000382,2,1,0.1,1
46,2,1.97712787593888,30.5019832396316,2,1,0.1,1
47,2,2.13662539708098,10.6620257490159,1,1,0.1,1
48,2,1.99374956859676,11.3108772859315,2,1,0.1,1
49,2,1.88150793467915,10.0575603295637,1,1,0.1,1
50,2,1.93191510873364,4.33682576740905,3,1,0.1,1
51,2,2.0000083031991,12.2041020479176,1,1,0.1,1
52,2,1.9515048490418,39.6747509721215,2,1,0.1,1
53,2,1.92191388409705,7.73505942598636,2,1,0.1,1
54,2,2.07827259760543,1.2387866582334,1,1,0.1,1
55,2,2.15631450811698,8.28131930942962,1,1,0.1,1
56,2,1.95996482208141,38.9615297129876,2,1,0.1,1
57,2,2.09931161296262,61.0445086933426,1,1,0.1,1
58,2,1.95089136102344,3.86287527713921,1,1,0.1,1
59,2,1.85122972188207,21.8088530480843,1,1,0.1,1
60,2,1.92670379674697,19.0306673811689,1,1,0.1,1
61,3,2.09549886834116,10.6587357730035,1,1,0.1,1
62,3,1.82609147945035,2.21356039738073,2,1,0.1,1
63,3,1.93896732777773,53.1522128854832,2,1,0.1,1
64,3,1.90111954334161,18.772576005353,1,1,0.1,1
65,3,1.93595111547298,1.85428395339919,1,1,0.1,1
66,3,2.03234237317629,11.6764720582664,4,1,0.1,1
67,3,2.08286824191504,7.00594768698313,2,1,0.1,1
68,3,2.09344389189067,1.33087718743012,1,1,0.1,1
69,3,2.05777577166832,1.00292242596576,3,1,0.1,1
70,3,1.8199555666577,4.13733143684958,2,1,0.1,1
71,3,2.13624643878436,53.7543393612599,2,1,0.1,1
72,3,1.96416543145466,8.5126985760689,2,1,0.1,1
73,3,1.98104450034496,44.2752323930656,3,1,0.1,1
74,3,1.91296034931432,9.73714673807486,3,1,0.1,1
75,3,2.00628686321685,4.19723085204122,1,1,0.1,1
76,3,1.9649240360968,18.5137663815332,1,1,0.1,1
77,3,1.97549609265736,64.912149768836,2,1,0.1,1
78,3,1.93356125345557,3.89053588311524,2,1,0.1,1
79,3,1.90424445773108,32.223544414758,1,1,0.1,1
80,3,1.89361971690314,6.3468381199606,2,1,0.1,1
81,3,2.06307137340243,62.9845392695863,2,1,0.1,1
82,3,1.95622052020141,18.3622538715276,1,1,0.1,1
83,3,2.01236757856939,21.693588286555,2,1,0.1,1
84,3,2.00009835610868,4.97471882428938,2,1,0.1,1
85,3,1.91574660375799,11.8411377107205,2,1,0.1,1
86,3,1.91467234751363,7.3441154550464,1,1,0.1,1
87,3,2.07138649969076,8.8568267231988,1,1,0.1,1
88,3,1.9334816462022,8.87328457542953,2,1,0.1,1
89,3,1.90212239901775,25.5659436542602,1,1,0.1,1
90,3,1.84147124493542,7.18667603496218,1,1,0.1,1
91,4,1.96840293145538,5.54000187661647,1,1,0.1,1
92,4,2.22503677383823,1.65179257060531,1,1,0.1,1
93,4,2.10855576536963,29.4032949780961,2,1,0.1,1
94,4,2.06990308289587,17.7033954260501,1,1,0.1,1
95,4,2.01081200201563,14.0259918690173,3,1,0.1,1
96,4,1.96994964949185,25.8388550561803,2,1,0.1,1
97,4,1.97757799728319,117.051779511897,1,1,0.1,1
98,4,2.00195639358294,13.8227453766421,1,1,0.1,1
99,4,1.89573044186893,83.1983461678066,3,1,0.1,1
100,4,2.00890338712143,17.4721433623182,3,1,0.1,1
101,4,1.88632329265452,8.40844582501595,2,1,0.1,1
102,4,1.96978821954361,10.3441209944468,1,1,0.1,1
103,4,2.23533522295598,1.79547131446134,2,1,0.1,1
104,4,1.99921525029245,43.4007339776092,2,1,0.1,1
105,4,1.98806373566789,30.5004252697078,1,1,0.1,1
106,4,1.97593439055776,27.1413563441254,2,1,0.1,1
107,4,2.02945871936375,15.5609977101964,2,1,0.1,1
108,4,1.93970169925946,1.96587238348637,1,1,0.1,1
109,4,2.16775388191396,40.1670568300891,2,1,0.1,1
110,4,1.77902789118434,24.3220402222317,2,1,0.1,1
111,4,1.96068037882091,24.9541033727214,1,1,0.1,1
112,4,2.08513564773988,28.6269785405825,1,1,0.1,1
113,4,1.90241550211104,19.0138606660782,2,1,0.1,1
114,4,1.89200383080332,2.96777698911163,1,1,0.1,1
115,4,1.99353614071897,116.626911876221,3,1,0.1,1
116,4,2.00605860433695,5.84791766589112,1,1,0.1,1
117,4,2.02343616048483,13.7598852138842,2,1,0.1,1
118,4,2.0753981811041,80.4099828663486,2,1,0.1,1
119,4,1.90482032393152,3.87867967425692,3,1,0.1,1
120,4,2.02090867043266,2.47968952368447,2,1,0.1,1
121,5,1.87267470173948,6.10527595390826,1,1,0.1,1
122,5,1.87174716112989,44.2867102611603,1,1,0.1,1
123,5,2.15183932819816,9.30639309161767,1,1,0.1,1
124,5,2.06084405092901,14.849010926349,1,1,0.1,1
125,5,2.04873975447288,13.7138288771757,1,1,0.1,1
126,5,2.12122096520983,18.6168928061362,1,1,0.1,1
127,5,1.81848153155443,28.4340022203141,1,1,0.1,1
128,5,2.03208785725359,11.5292371151902,1,1,0.1,1
129,5,1.8125300766002,32.2630131182721,3,1,0.1,1
130,5,2.00403329634475,8.77975500001382,1,1,0.1,1
131,5,2.06164110459622,27.1449113669929,2,1,0.1,1
132,5,1.79992655519702,13.5737396221868,1,1,0.1,1
133,5,2.21789674524663,12.9989922909118,4,1,0.1,1
134,5,2.13709571362632,17.9860160918414,2,1,0.1,1
135,5,1.97086741051752,1.56388337932276,2,1,0.1,1
136,5,1.97712787593888,37.0514851584087,2,1,0.1,1
