"","firm","culture","tenure","employments","sim_no","var_win","n_paragon","cond"
"1",1,-0.460204853886595,18.209150619445,2,1,0.1,180,1
"2",1,-0.397183383449351,20.906126071514,1,1,0.1,180,1
"3",1,-0.268371373262937,6.90301201026816,1,1,0.1,180,1
"4",1,-0.382219039112555,1.08401553097888,2,1,0.1,180,1
"5",1,-0.633901434522043,25.6973222410353,1,1,0.1,180,1
"6",1,-0.583398590861939,8.40513457547418,1,1,0.1,180,1
"7",1,-0.552816749761857,75.6099921126114,3,1,0.1,180,1
"8",1,-0.39013980139732,30.084601466833,2,1,0.1,180,1
"9",1,-0.310459865567173,55.6268811043158,1,1,0.1,180,1
"10",1,-0.488235374125121,3.59586811062775,2,1,0.1,180,1
"11",1,-0.649728316083056,4.68429798308852,2,1,0.1,180,1
"12",1,-0.322815111823971,0.562346128330385,2,1,0.1,180,1
"13",1,-0.472845063420874,13.0079553204788,1,1,0.1,180,1
"14",1,-0.341325110822498,28.9209908353236,1,1,0.1,180,1
"15",1,-0.265027792951971,8.29342286569331,2,1,0.1,180,1
"16",1,-0.410359709774183,109.416438148865,1,1,0.1,180,1
"17",1,-0.437008410283565,36.6783898842927,1,1,0.1,180,1
"18",1,-0.209094921875627,2.68095583755686,1,1,0.1,180,1
"19",1,-0.330929281086179,7.23752214125275,2,1,0.1,180,1
"20",1,-0.36096790513286,14.761979892203,2,1,0.1,180,1
"21",1,-0.454877752823357,4.31053946839691,1,1,0.1,180,1
"22",1,-0.365845220408859,6.90994025927333,1,1,0.1,180,1
"23",1,-0.437094834090025,18.663930187011,2,1,0.1,180,1
"24",1,-0.39484346208745,2.54509945372934,1,1,0.1,180,1
"25",1,-0.365678833525089,7.25715348078109,1,1,0.1,180,1
"26",1,-0.302402420139707,63.1596213622338,1,1,0.1,180,1
"27",1,-0.251611207480563,10.9359192570778,2,1,0.1,180,1
"28",1,-0.593409570634476,1.29964486167755,2,1,0.1,180,1
"29",1,-0.455529300348265,2.59721822499081,4,1,0.1,180,1
"30",1,-0.340685219334426,35.3123698120666,2,1,0.1,180,1
"31",2,2.21731006732839,24.7993600534277,2,1,0.1,180,1
"32",2,2.18265944927216,22.9746990305414,4,1,0.1,180,1
"33",2,2.26731536498083,8.7462094013372,1,1,0.1,180,1
"34",2,2.09357031744696,9.52380048788729,3,1,0.1,180,1
"35",2,2.29971711639881,47.9971602329238,2,1,0.1,180,1
"36",2,2.18698253233399,24.083690262441,2,1,0.1,180,1
"37",2,2.29704985253256,20.6908979374761,2,1,0.1,180,1
"38",2,2.2331295761116,37.4690313891272,3,1,0.1,180,1
"39",2,2.19686770349568,85.0882058930917,1,1,0.1,180,1
"40",2,2.19441741164518,81.0124666584977,1,1,0.1,180,1
"41",2,2.30793377190396,3.59559948697871,2,1,0.1,180,1
"42",2,2.24147875910363,10.4004043804336,1,1,0.1,180,1
"43",2,2.12094303552602,11.0230008903578,1,1,0.1,180,1
"44",2,2.16228627931247,34.6942091467856,2,1,0.1,180,1
"45",2,2.39304429900558,62.4139802216873,2,1,0.1,180,1
"46",2,2.17876822084916,114.428441375361,3,1,0.1,180,1
"47",2,2.14307998260428,7.75502614942426,1,1,0.1,180,1
"48",2,2.36249083700184,7.5523768711281,1,1,0.1,180,1
"49",2,2.30060607449114,5.7728264783868,2,1,0.1,180,1
"50",2,2.15887280543209,30.0755432165973,1,1,0.1,180,1
"51",2,2.32163266986875,56.0420639930072,1,1,0.1,180,1
"52",2,2.11244036230607,31.6987392230338,1,1,0.1,180,1
"53",2,2.15814502206628,11.0922781927141,2,1,0.1,180,1
"54",2,2.22177220621967,7.05815097852514,1,1,0.1,180,1
"55",2,2.19898536902475,12.5856131655831,1,1,0.1,180,1
"56",2,2.27075770656836,7.84855990466368,1,1,0.1,180,1
"57",2,2.07709644850308,29.8646635096007,1,1,0.1,180,1
"58",2,2.22239112073609,20.5307573267615,2,1,0.1,180,1
"59",2,2.12065970713422,3.8555132555523,1,1,0.1,180,1
"60",2,2.04988429103243,3.93741425476418,1,1,0.1,180,1
"61",3,-0.231104056696089,4.29114795806832,1,1,0.1,180,1
"62",3,-0.0499055660352405,13.052345428063,1,1,0.1,180,1
"63",3,-0.0937430179645926,97.0447626167163,2,1,0.1,180,1
"64",3,-0.130010845128845,12.4789746153015,1,1,0.1,180,1
"65",3,-0.0639480384238531,10.4086167749021,2,1,0.1,180,1
"66",3,-0.157834618978932,16.5316899012453,1,1,0.1,180,1
"67",3,-0.0732168023636836,8.46189722272529,2,1,0.1,180,1
"68",3,-0.3792801160509,29.0699027495998,1,1,0.1,180,1
"69",3,0.00539795481298769,9.864679178157,1,1,0.1,180,1
"70",3,-0.275315867534477,48.7274060574436,1,1,0.1,180,1
"71",3,-0.0498590689222931,28.2148677959461,1,1,0.1,180,1
"72",3,-0.27258988755914,23.0728413710466,1,1,0.1,180,1
"73",3,-0.14845261591242,12.2610865274296,1,1,0.1,180,1
"74",3,-0.147989875452887,21.4263475252313,2,1,0.1,180,1
"75",3,-0.210942027809434,45.5416452642926,1,1,0.1,180,1
"76",3,-0.206855455794394,8.88300994121891,1,1,0.1,180,1
"77",3,-0.342861069897138,7.11437174993402,3,1,0.1,180,1
"78",3,-0.222614019782431,43.7748759446535,2,1,0.1,180,1
"79",3,0.0429367713787961,8.45201978175012,1,1,0.1,180,1
"80",3,-0.256044198337273,54.8955488804057,2,1,0.1,180,1
"81",3,-0.108257265225202,13.0327122161526,2,1,0.1,180,1
"82",3,-0.379651389509462,6.79876956328002,1,1,0.1,180,1
"83",3,-0.178556990261489,13.0178078001437,2,1,0.1,180,1
"84",3,-0.205928346561297,4.67616373308279,1,1,0.1,180,1
"85",3,-0.177533925422389,31.8118543278526,2,1,0.1,180,1
"86",3,-0.152162941555797,4.3362863662138,2,1,0.1,180,1
"87",3,-0.0161247791272663,12.9936259927056,1,1,0.1,180,1
"88",3,0.0348179134213375,3.8099972914707,1,1,0.1,180,1
"89",3,-0.195320400901225,58.530170709444,1,1,0.1,180,1
"90",3,-0.191817272303649,2.58894094779283,1,1,0.1,180,1
"91",4,1.63557912685139,4.79819321814112,2,1,0.1,180,1
"92",4,1.61232810159873,8.93741568078356,1,1,0.1,180,1
"93",4,1.7138234493496,38.3145979314719,1,1,0.1,180,1
"94",4,1.59591394510673,22.8852324419927,2,1,0.1,180,1
"95",4,1.49051772949942,6.43612044505576,1,1,0.1,180,1
"96",4,1.83549914808525,28.2886595197392,2,1,0.1,180,1
"97",4,1.72976296690993,4.66470199036628,1,1,0.1,180,1
"98",4,1.56906166252574,20.4874230457094,2,1,0.1,180,1
"99",4,1.65427016414664,83.1869511563754,1,1,0.1,180,1
"100",4,1.62921861823151,5.34373814229152,2,1,0.1,180,1
"101",4,1.7576971333295,8.76724686944463,1,1,0.1,180,1
"102",4,1.66767420995246,23.5322172731711,2,1,0.1,180,1
"103",4,1.74396906240421,22.9408146991629,2,1,0.1,180,1
"104",4,1.59277938955497,4.06019125033292,1,1,0.1,180,1
"105",4,1.76778711541048,4.33186546071518,2,1,0.1,180,1
"106",4,1.51188868380445,14.9921501463245,1,1,0.1,180,1
"107",4,1.78289660309803,2.60814839022119,2,1,0.1,180,1
"108",4,1.63829801866255,51.9321306906407,1,1,0.1,180,1
"109",4,1.63549508749751,21.5898277866736,2,1,0.1,180,1
"110",4,1.62630105446402,6.36307931132785,2,1,0.1,180,1
"111",4,1.73738077112839,8.07170681936427,1,1,0.1,180,1
"112",4,1.78250034309463,4.17094289962223,2,1,0.1,180,1
"113",4,1.73590297801862,7.48559692693003,2,1,0.1,180,1
"114",4,1.55831444674354,94.8637062949313,1,1,0.1,180,1
"115",4,1.580527722057,16.1962171334824,1,1,0.1,180,1
"116",4,1.73465745305872,18.9606770849169,2,1,0.1,180,1
"117",4,1.61901600768706,12.0287147105671,1,1,0.1,180,1
"118",4,1.88109924276128,8.12931936941702,1,1,0.1,180,1
"119",4,1.73873968120544,41.9103650333578,1,1,0.1,180,1
"120",4,1.67389408922112,13.8489838931708,3,1,0.1,180,1
"121",5,-1.26385199626528,3.37379206990333,2,1,0.1,180,1
"122",5,-1.24276953961982,4.33338927926458,1,1,0.1,180,1
"123",5,-1.1653640096406,13.1637886980741,1,1,0.1,180,1
"124",5,-1.35104989716843,21.4689136612466,1,1,0.1,180,1
"125",5,-1.07471293709251,43.8753621272077,1,1,0.1,180,1
"126",5,-1.53146127100547,9.49147488536452,1,1,0.1,180,1
"127",5,-1.3584719432351,5.39288623637012,2,1,0.1,180,1
"128",5,-1.34353168689755,28.5476794234645,2,1,0.1,180,1
"129",5,-1.41164929175039,50.1295169575248,1,1,0.1,180,1
"130",5,-1.40750063925577,11.0536446473184,2,1,0.1,180,1
"131",5,-1.44938668704766,23.3698649947339,1,1,0.1,180,1
"132",5,-1.18187769305989,12.3261004256693,1,1,0.1,180,1
"133",5,-1.2520140191453,1.74881968114879,1,1,0.1,180,1
"134",5,-1.31696633198659,9.90055342080552,1,1,0.1,180,1
"135",5,-1.29258442219274,19.2697801329136,1,1,0.1,180,1
"136",5,-1.26804068101308,16.5577579346446,2,1,0.1,180,1
"137",5,-1.5269979261631,7.06413022093836,1,1,0.1,180,1
"138",5,-1.48079260767241,7.34142346219606,2,1,0.1,180,1
"139",5,-1.5314463436268,27.3556416781401,1,1,0.1,180,1
"140",5,-1.35687341458615,18.7042719016597,1,1,0.1,180,1
