"","firm","c1","c2","tenure","employments","sim_no"
"1",1,-0.568748161923895,-0.406736337598743,2.88163035572685,1,1
"2",1,-0.62649092447998,-0.528385341502956,4.79917600872999,2,1
"3",1,-0.739827331852888,-0.460843192447638,11.9769839452064,2,1
"4",1,-0.498037613700071,-0.418505008930384,11.3465217033475,1,1
"5",1,-0.490783437429889,-0.639351784009035,12.2867034775025,3,1
"6",1,-0.642701263903721,-0.563514505873772,1.98436492571734,4,1
"7",1,-0.488868523983081,-0.647467035773538,18.2112877970226,1,1
"8",1,-0.588930591404902,-0.573223678487132,6.69916641562045,2,1
"9",1,-0.506251630752491,-0.540885388331426,13.0706655185298,1,1
"10",1,-0.676861594571464,-0.422888216851318,28.0799082299037,2,1
"11",1,-0.535384162209455,-0.486204428135985,30.5347938067316,2,1
"12",1,-0.41393295811787,-0.415883993120385,10.9275079696031,1,1
"13",1,-0.507460379233613,-0.494366118022488,25.4566665517674,1,1
"14",1,-0.576947827900855,-0.640756765435512,14.2334244747744,1,1
"15",1,-0.378175346525711,-0.554084876988964,0.892334699171676,1,1
"16",1,-0.577725627158309,-0.586120201412291,66.8535998111691,1,1
"17",1,-0.466552955180292,-0.708813214996949,8.30744075721357,2,1
"18",1,-0.706622078680023,-0.33867544304373,3.16062146855356,1,1
"19",1,-0.442977862322774,-0.401996586907005,55.8884432186787,2,1
"20",1,-0.512411768284965,-0.329690915070687,84.9444265276916,1,1
"21",1,-0.582182992354143,-0.456698368651963,3.23093611383381,1,1
"22",1,-0.505451395408817,-0.388281037954546,37.3846972765345,1,1
"23",1,-0.61242454721258,-0.45550366894227,2.89336714191396,1,1
"24",1,-0.437691264290671,-0.426550408350215,10.2284609865095,2,1
"25",1,-0.498625286229916,-0.503472177028421,3.64078908051996,2,1
"26",1,-0.766638762484395,-0.573318330747801,37.4469390066496,2,1
"27",1,-0.46647059960533,-0.30483729775863,1.60268776826567,1,1
"28",1,-0.658958745366254,-0.481777123236852,6.0379276050864,2,1
"29",1,-0.548731349008824,-0.423149106031616,18.2685671677434,2,1
"30",1,-0.589295333283278,-0.673063632457393,8.71218954042466,2,1
"31",2,0.30492651010052,0.60350589798631,10.4954246399711,1,1
"32",2,0.558680126335345,0.717565643935822,18.2823379392695,2,1
"33",2,0.180622688097706,0.714460564555865,25.6954573730962,1,1
"34",2,0.489159830374618,0.727554974864078,3.01752177350911,2,1
"35",2,0.203496222196169,0.588212181579792,31.4730018203818,2,1
"36",2,0.435304596377661,0.67028330988712,25.1139841333684,3,1
"37",2,0.380111651600228,0.789798139193326,8.27681048761898,2,1
"38",2,0.545564326845663,0.678669619845623,5.94493426768154,2,1
